time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-08-08T14:03:47.430Z,5.0209,127.5327,122.95,5.1,mb,,57,2.813,1.19,us,usb000s1fa,2014-11-07T21:47:35.000Z,"210 km SE of Pondaguitan, Philippines",earthquake,,5.6,0.064,84,reviewed,us,us
2014-08-11T04:49:07.270Z,-23.9047,-66.7371,197.09,5,mww,,34,2.377,0.8,us,usb000s1su,2014-11-07T21:47:40.000Z,"54 km NW of San Antonio de los Cobres, Argentina",earthquake,,5.5,,,reviewed,us,us
2014-08-12T01:28:31.200Z,-3.6754,151.2679,398.79,5.1,mb,,39,1.03,0.35,us,usb000s226,2014-11-07T21:47:40.000Z,"115 km WNW of Rabaul, Papua New Guinea",earthquake,,4.8,0.045,167,reviewed,us,us
2014-08-16T18:23:43.820Z,-14.8973,167.3248,131.07,5.1,mb,,28,7.184,0.96,us,usb000s3ei,2014-11-15T04:07:11.000Z,"31 km ENE of Port-Olry, Vanuatu",earthquake,,4.3,0.046,160,reviewed,us,us
2014-08-17T02:38:26.640Z,-7.0659,125.4574,490.4,5.3,mb,,22,2.92,0.68,us,usb000s3hi,2014-11-15T04:07:12.000Z,"164 km N of Metinaro, Timor Leste",earthquake,,3.4,0.046,175,reviewed,us,us
2014-08-19T15:38:17.470Z,-22.0716,-179.465,601.83,5.2,mb,,33,4.896,0.75,us,usd000477j,2014-11-15T04:07:17.000Z,"south of the Fiji Islands",earthquake,,4.3,0.037,249,reviewed,us,us
2014-08-20T19:38:25.260Z,33.1969,138.1144,307.89,5.2,mb,,20,1.402,0.72,us,usb000s4nk,2014-11-22T02:06:23.000Z,"156 km S of ?yama, Japan",earthquake,7.5,2.8,0.027,484,reviewed,us,us
2014-08-23T04:45:32.670Z,-20.1745,-69.0385,100,5.6,mww,,38,0.113,0.64,us,usb000s5lt,2022-07-26T23:03:36.453Z,"116 km E of Iquique, Chile",earthquake,4.7,1.7,,,reviewed,us,us
2014-08-24T23:21:45.520Z,-14.598,-73.5714,101,6.8,mww,,18,4.107,0.9,us,usb000s5x1,2022-07-26T23:28:03.335Z,"38 km NW of Aniso, Peru",earthquake,4.7,1.8,,,reviewed,us,us
2014-08-27T23:11:34.200Z,-15.0455,167.3911,115.25,5.9,mww,,23,0.438,0.62,us,usc000s7i5,2022-05-03T16:59:53.947Z,"34 km E of Port-Olry, Vanuatu",earthquake,7.9,3.6,,,reviewed,us,us
